ProdName,Quantity,Category,Price,Total,Employee,Date
chicken,18,Meat and poultry,10.14,182.52,Omar,2023-01-14
yogurt,3,Dairy foods,6.22,18.66,Omar,2023-01-30
grape,19,Fruits,3.33,63.27,Rame,2023-01-06
butter,10,Dairy foods,7.25,72.5,Omar,2023-01-01
orange,11,Fruits,9.54,104.94,Rame,2023-01-15
pork,18,Meat and poultry,19.77,355.86,Rame,2023-01-06
potato,14,Vegetables,5.75,80.5,Ali,2023-01-11
beef,10,Meat and poultry,14.92,149.2,Ali,2023-01-23
banana,15,Fruits,16.99,254.85,Ali,2023-01-22
milk,11,Dairy foods,1.45,15.95,Rame,2023-01-10
potato,7,Vegetables,10.12,70.84,Rame,2023-01-17
cookies,13,Snacks,11.58,150.54,Omar,2023-01-16
cheese,1,Dairy foods,6.29,6.29,Rame,2023-01-20
milk,10,Dairy foods,5.61,56.1,Omar,2023-01-08
chicken,6,Meat and poultry,16.55,99.3,Ali,2023-01-18
turkey,2,Meat and poultry,0.54,1.08,Omar,2023-01-30
banana,7,Fruits,19.54,136.78,Omar,2023-01-15
candy,16,Snacks,18.68,298.88,Rame,2023-01-28
chicken,14,Meat and poultry,16.44,230.16,Rame,2023-01-14
chicken,3,Meat and poultry,12.57,37.71,Ali,2023-01-11
turkey,15,Meat and poultry,17.11,256.65,Omar,2023-01-20
beef,10,Meat and poultry,19.36,193.6,Omar,2023-01-21
yogurt,1,Dairy foods,4.11,4.11,Omar,2023-01-26
butter,11,Dairy foods,10.04,110.44,Omar,2023-01-07
chicken,6,Meat and poultry,14.94,89.64,Rame,2023-01-15
apple,20,Fruits,5.58,111.6,Ali,2023-01-18
chips,3,Snacks,15.72,47.16,Ali,2023-01-24
carrot,6,Vegetables,6.02,36.12,Rame,2023-01-02
chips,2,Snacks,14.43,28.86,Ali,2023-01-30
apple,15,Fruits,2.22,33.3,Ali,2023-01-15
grape,2,Fruits,12.7,25.4,Omar,2023-01-09
beef,12,Meat and poultry,9.88,118.56,Omar,2023-01-27
butter,11,Dairy foods,14.21,156.31,Ali,2023-01-23
butter,11,Dairy foods,1.25,13.75,Omar,2023-01-29
turkey,15,Meat and poultry,7.09,106.35,Rame,2023-01-10
apple,5,Fruits,13.71,68.55,Rame,2023-01-17
milk,13,Dairy foods,14.53,188.89,Omar,2023-01-18
carrot,5,Vegetables,5.23,26.15,Rame,2023-01-30
banana,18,Fruits,15.77,283.86,Ali,2023-01-03
chips,11,Snacks,6.08,66.88,Omar,2023-01-10
chicken,2,Meat and poultry,0.77,1.54,Omar,2023-01-06
carrot,2,Vegetables,1.07,2.14,Ali,2023-01-09
cheese,4,Dairy foods,8.79,35.16,Ali,2023-01-15
butter,18,Dairy foods,15.81,284.58,Ali,2023-01-12
chips,19,Snacks,7.44,141.36,Omar,2023-01-12
butter,15,Dairy foods,15.46,231.9,Rame,2023-01-26
butter,12,Dairy foods,11.97,143.64,Rame,2023-01-28
chicken,3,Meat and poultry,5.29,15.87,Omar,2023-01-03
banana,16,Fruits,7.64,122.24,Ali,2023-01-07
candy,17,Snacks,2.84,48.28,Ali,2023-01-21
pork,2,Meat and poultry,3.54,7.08,Rame,2023-01-11
orange,8,Fruits,18.54,148.32,Ali,2023-01-08
cookies,14,Snacks,19.94,279.16,Ali,2023-01-09
cheese,4,Dairy foods,6.65,26.6,Rame,2023-01-10
chips,2,Snacks,5.32,10.64,Omar,2023-01-26
beef,7,Meat and poultry,9.92,69.44,Omar,2023-01-05
orange,10,Fruits,17.54,175.4,Ali,2023-01-22
grape,16,Fruits,13.07,209.12,Rame,2023-01-17
beef,13,Meat and poultry,13.44,174.72,Ali,2023-01-09
grape,17,Fruits,10.54,179.18,Rame,2023-01-13
chocolate,12,Snacks,17.46,209.52,Rame,2023-01-08
yogurt,1,Dairy foods,8.89,8.89,Rame,2023-01-19
orange,8,Fruits,3.85,30.8,Omar,2023-01-03
spinach,10,Vegetables,0.84,8.4,Ali,2023-01-01
yogurt,9,Dairy foods,19.06,171.54,Omar,2023-01-19
grape,10,Fruits,3.73,37.3,Rame,2023-01-06
carrot,2,Vegetables,9.01,18.02,Omar,2023-01-03
beef,9,Meat and poultry,14.84,133.56,Ali,2023-01-12
chips,16,Snacks,14.18,226.88,Omar,2023-01-02
spinach,6,Vegetables,9.27,55.62,Rame,2023-01-27
cheese,12,Dairy foods,11.86,142.32,Rame,2023-01-01
pork,18,Meat and poultry,10.62,191.16,Rame,2023-01-18
spinach,9,Vegetables,6.13,55.17,Rame,2023-01-14
banana,4,Fruits,14.09,56.36,Ali,2023-01-21
butter,1,Dairy foods,2.2,2.2,Rame,2023-01-10
pork,12,Meat and poultry,8.2,98.4,Rame,2023-01-05
chicken,14,Meat and poultry,9.5,133,Ali,2023-01-30
broccoli,10,Vegetables,6.57,65.7,Ali,2023-01-26
apple,3,Fruits,12.16,36.48,Omar,2023-01-26
apple,10,Fruits,1.35,13.5,Omar,2023-01-08
orange,9,Fruits,6.09,54.81,Omar,2023-01-02
grape,17,Fruits,18.24,310.08,Rame,2023-01-10
apple,1,Fruits,13.26,13.26,Ali,2023-01-17
beef,13,Meat and poultry,5.41,70.33,Rame,2023-01-10
broccoli,7,Vegetables,7.45,52.15,Rame,2023-01-25
broccoli,3,Vegetables,14.76,44.28,Ali,2023-01-09
potato,17,Vegetables,5.78,98.26,Rame,2023-01-29
orange,1,Fruits,11.75,11.75,Omar,2023-01-14
milk,13,Dairy foods,9.15,118.95,Rame,2023-01-26
carrot,15,Vegetables,17.38,260.7,Ali,2023-01-06
banana,7,Fruits,5.09,35.63,Ali,2023-01-13
orange,11,Fruits,17.72,194.92,Omar,2023-01-21
candy,4,Snacks,1.52,6.08,Rame,2023-01-05
turkey,6,Meat and poultry,2.33,13.98,Ali,2023-01-04
potato,2,Vegetables,14.26,28.52,Rame,2023-01-30
butter,15,Dairy foods,15.72,235.8,Ali,2023-01-22
potato,3,Vegetables,14.64,43.92,Omar,2023-01-02
carrot,13,Vegetables,17.25,224.25,Ali,2023-01-12
cheese,20,Dairy foods,1.2,24,Ali,2023-01-14
